Date,ING Code,Item Name,Category,Raw/Inventory UOM,Price, Purchase Qty ,Purchase Price Per Unit,,
01/07/26,F024,ကြက်တောင်ပံ,Fresh Goods,pcs," 46,000 ",46," 1,000 ",,
01/07/26,F017,ငါး,Fresh Goods,g," 8,000 ",640, 13 ,,
03/07/26,F011,ပေါင်မုန့်,Fresh Goods,pkg," 7,000 ",2," 3,500 ",,
03/07/26,F017,ငါး,Fresh Goods,g," 12,000 ",960, 13 ,,
03/07/26,F001,ကြက်ဥ,Fresh Goods,pcs," 14,000 ",30, 467 ,,
03/07/26,V021,ပဲသီးတောင့်,Fresh Vegetable,g," 5,000 ",600, 8 ,,
03/07/26,V011,မုန်ညှင်းဖြူ,Fresh Vegetable,g," 3,000 ",1400, 2 ,,
03/07/26,V035,ဘူးသီး,Fresh Vegetable,g," 2,500 ",5000, 1 ,,
03/07/26,V009,ဆလပ်ရွက်,Fresh Vegetable,g," 2,000 ",400, 5 ,,
03/07/26,V031,ဂေါ်ဖီထုပ်,Fresh Vegetable,g," 3,000 ",2000, 2 ,,
03/07/26,V016,ခါကြက်ဥ(ဥနီ),Fresh Vegetable,g," 6,000 ",1600, 4 ,,
03/07/26,V023,ပဲစေ့ (ရွှေပဲ),Fresh Vegetable,g," 3,000 ",480, 6 ,,
03/07/26,V014,ကြက်သွန်နီ ကြီး,Fresh Vegetable,g," 5,500 ",1600, 3 ,,
03/07/26,V028,ဂျင်း Ginger,Fresh Vegetable,g," 2,000 ",480, 4 ,,
03/07/26,V010,အာလူး,Fresh Vegetable,g," 5,000 ",1600, 3 ,,
03/07/26,V037,ပင်စိမ်း,Fresh Vegetable,g," 1,500 ",100, 15 ,,
03/07/26,V007,နံနံပင်,Fresh Vegetable,bunch," 2,000 ",4, 500 ,,
03/07/26,V026,ပူစီနံ,Fresh Vegetable,bunch," 1,500 ",3, 500 ,,
03/07/26,V012,ခရမ်းချဉ်သီး,Fresh Vegetable,g," 3,000 ",800, 4 ,,
05/07/26,F002,ကြက်သား,Fresh Goods,g," 25,000 ",1600, 16 ,,
06/07/26,F013,ငါးဖယ်,Fresh Goods,g," 9,000 ",480, 19 ,,
07/07/26,V044,ခဝဲသီး,Fresh Vegetable,g," 2,500 ",500, 5 ,,
07/07/26,V008,သခွားသီး,Fresh Vegetable,g," 1,500 ",1000, 2 ,,
07/07/26,V006,ငရုပ်သီးစိမ်း,Fresh Vegetable,g," 3,000 ",480, 6 ,,
07/07/26,V012,ခရမ်းချဉ်သီး,Fresh Vegetable,g," 3,000 ",1600, 2 ,,
07/07/26,V035,ဘူးသီး,Fresh Vegetable,g," 3,000 ",5000, 1 ,,
07/07/26,D006,ငါးပိ ပုဇွန်,Dry Goods,g," 4,000 ",180, 22 ,,
07/07/26,V038,ကန်စွန်းရွက်,Fresh Vegetable,g," 1,500 ",600, 3 ,,
07/07/26,V016,ခါကြက်ဥ(ဥနီ),Fresh Vegetable,g," 5,000 ",1600, 3 ,,
07/07/26,F001,ကြက်ဥ,Fresh Goods,pcs," 14,000 ",30, 467 ,,
07/07/26,F002,ကြက်သား,Fresh Goods,g," 25,000 ",1600, 16 ,,
09/07/26,V010,အာလူး,Fresh Vegetable,g," 5,000 ",1600, 3 ,,
09/07/26,V018,ထိုင်ဝမ်မုန်ညှင်း,Fresh Vegetable,g," 2,500 ",3000, 1 ,,
09/07/26,V014,ကြက်သွန်နီ ကြီး,Fresh Vegetable,g," 12,000 ",3200, 4 ,,
09/07/26,V039,ငရုတ်ပွ,Fresh Vegetable,g," 2,000 ",320, 6 ,,
09/07/26,F020,ပဲပုတ်,Fresh Goods,pcs," 1,000 ",5, 200 ,,
09/07/26,D077,ကျောက်ပွင့်,Dry Goods,pcs," 7,000 ",2," 3,500 ",,
09/07/26,D079,ကြက်သွန်ပေါင်းခြောက်,Dry Goods,g," 8,000 ",800, 10 ,,
09/07/26,V019,သံပုရာသီး,Fresh Vegetable,pcs," 1,500 ",10, 150 ,,
09/07/26,V007,နံနံပင်,Fresh Vegetable,bunch," 1,000 ",2, 500 ,,
09/07/26,D061,စိန်ခဲ ငံပြာရည်,Dry Goods,ml," 6,000 ",750, 8 ,,
09/07/26,D029,မဆာလာ,Dry Goods,g," 5,000 ",80, 63 ,,
09/07/26,D036,ငရုတ်သီးခြောက်,Dry Goods,g," 3,500 ",160, 22 ,,
09/07/26,V031,ဂေါ်ဖီထုပ်,Fresh Vegetable,g," 3,000 ",2300, 1 ,,
10/07/26,F002,ကြက်သား,Fresh Goods,g," 28,000 ",1600, 18 ,,
10/07/26,F017,ငါး,Fresh Goods,g," 30,000 ",2400, 13 ,,
12/07/26,F023,ငါးဥ,Fresh Goods,g," 8,000 ",720, 11 ,,
12/07/26,V041,ပဲပင်ပေါက်,Fresh Vegetable,g," 5,000 ",1600, 3 ,,
12/07/26,V024,ပန်းဂေါ်ဖီပွင့်,Fresh Vegetable,g," 2,000 ",600, 3 ,,
13/07/26,F002,ကြက်သား,Fresh Goods,g," 30,000 ",1600, 19 ,,
14/07/26,D001,ဆန်,Dry Goods,g," 102,000 ",25344, 4.025 ,,
14/07/26,D060,Smart Vegetable Oil,Dry Goods,ml," 76,000 ",10000, 7.6 ,,
14/07/26,D045,နို့ဆီ,Dry Goods,g," 20,000 ",1560, 13 ,,
14/07/26,D040,နို့စိမ်း,Dry Goods,g," 12,000 ",770, 16 ,,
14/07/26,D024,ခေါက်ဆွဲ,Dry Goods,g," 27,500 ",4000, 7 ,,
14/07/26,D030,ကြာဇံ,Dry Goods,g," 11,000 ",2000, 5.5 ,,
14/07/26,D033,MSG,Dry Goods,g," 7,500 ",500, 15 ,,
14/07/26,D012,ကြက်သားမှုန့်,Dry Goods,g," 48,000 ",2460, 20 ,,
14/07/26,D064,ဆား,Dry Goods,g," 1,000 ",100, 10 ,,
14/07/26,D071,ကျားတံဆိပ် ပဲငံပြာရည် အကျဲ,Dry Goods,ml," 8,000 ",1500, 5.33 ,,
14/07/26,D057,ဘုတ်ဆုံမ ငရုတ်သီးမှုန့်,Dry Goods,g," 5,500 ",400, 14 ,,
14/07/26,D002,နှစ်ပြန်ကြော်,Dry Goods,g," 16,000 ",1600, 10 ,,
14/07/26,D047,ဒုံးပျံ ဂျုံ,Dry Goods,g," 7,200 ",1600, 5 ,,
14/07/26,D018,Golden Dragon(chill sauce),Dry Goods,g," 23,500 ",4200, 6 ,,
15/07/26,F001,ကြက်ဥ,Fresh Goods,pcs," 16,500 ",30, 550 ,,
16/07/26,F025,ဘဲဥ,Fresh Goods,pcs," 6,500 ",10, 650 ,,
16/07/26,V001,လက်ဖက် ချဉ်စပ်ထောင်း,Fresh Vegetable,g," 5,000 ",800, 6 ,,
16/07/26,F002,ကြက်သား,Fresh Goods,g," 60,000 ",3200, 19 ,,
16/07/26,T011,ကော်ဗူးသုံးကန့်,Take way,pcs," 120,000 ",100," 1,200 ",,
16/07/26,V011,မုန်ညှင်းဖြူ,Fresh Vegetable,g," 1,500 ",500, 3 ,,
16/07/26,V021,ပဲသီးတောင့်,Fresh Vegetable,g," 4,200 ",540, 8 ,,
16/07/26,V031,ဂေါ်ဖီထုပ်,Fresh Vegetable,g," 2,000 ",700, 3 ,,
16/07/26,V012,ခရမ်းချဉ်သီး,Fresh Vegetable,g," 5,000 ",1600, 3 ,,
17/07/26,F023,ငါးဥ,Fresh Goods,g," 20,000 ",1600, 13 ,,
17/07/26,V039,ငရုတ်ပွ,Fresh Vegetable,g," 2,000 ",400, 5 ,,
17/07/26,V038,ကန်စွန်းရွက်,Fresh Vegetable,g," 3,500 ",1300, 2.69 ,,
17/07/26,V024,ပန်းဂေါ်ဖီပွင့်,Fresh Vegetable,g," 10,000 ",1880, 5 ,,
17/07/26,V016,ခါကြက်ဥ(ဥနီ),Fresh Vegetable,g," 1,000 ",200, 5 ,,
17/07/26,V045,ကိုက်လန်,Fresh Vegetable,g," 4,000 ",600, 7 ,,
17/07/26,F001,ကြက်ဥ,Fresh Goods,pcs," 16,500 ",30, 550 ,,
18/07/26,F002,ကြက်သား,Fresh Goods,g," 60,000 ",3200, 19 ,,
18/07/26,F026,ကကတစ်ငါး,Fresh Goods,pcs," 45,000 ",3," 15,000 ",,
18/07/26,F013,ငါးဖယ်,Fresh Goods,g," 14,000 ",800, 18 ,,
18/07/26,V009,ဆလပ်ရွက်,Fresh Vegetable,g," 2,000 ",400, 5 ,,
18/07/26,V012,ခရမ်းချဉ်သီး,Fresh Vegetable,g," 4,500 ",1600, 3 ,,
18/07/26,V014,ကြက်သွန်နီ ကြီး,Fresh Vegetable,g," 13,000 ",3200, 4 ,,
18/07/26,V010,အာလူး,Fresh Vegetable,g," 9,000 ",3200, 3 ,,
18/07/26,V039,ငရုတ်ပွ,Fresh Vegetable,g," 3,000 ",480, 6 ,,
18/07/26,V040,စပါးလင်,Fresh Vegetable,bdl," 1,500 ",3, 500 ,,
18/07/26,D035,တုံယမ်းခဲ,Dry Goods,Pcs," 4,000 ",4," 1,000 ",,
18/07/26,V022,မှို,Fresh Vegetable,g," 7,000 ",320, 21.88 ,,
18/07/26,V023,ပဲစေ့ (ရွှေပဲ),Fresh Vegetable,g," 2,500 ",320, 8 ,,
18/07/26,D077,ကျောက်ပွင့်,Dry Goods,pcs," 7,000 ",2," 3,500 ",,
18/07/26,V006,ငရုပ်သီးစိမ်း,Fresh Vegetable,g," 3,000 ",480, 6 ,,
18/07/26,V011,မုန်ညှင်းဖြူ,Fresh Vegetable,g," 3,000 ",1500, 2 ,,
18/07/26,V007,နံနံပင်,Fresh Vegetable,bunch," 1,000 ",2, 500 ,,
18/07/26,V041,ပဲပင်ပေါက်,Fresh Vegetable,g," 4,000 ",1600, 3 ,,
19/07/26,F017,ငါး,Fresh Goods,g," 20,000 ",1600, 13 ,,
19/07/26,V037,ပင်စိမ်း,Fresh Vegetable,g," 1,500 ",150, 10 ,,
19/07/26,V009,ဆလပ်ရွက်,Fresh Vegetable,g," 3,200 ",600, 5 ,,
19/07/26,V046,ကျောက်ဖရံသီး,Fresh Vegetable,g," 3,500 ",3500, 1 ,,
19/07/26,F002,ကြက်သား,Fresh Goods,g," 58,000 ",3200, 18 ,,
20/07/26,F013,ငါးဖယ်,Fresh Goods,g," 10,000 ",560, 18 ,,
21/07/26,V008,သခွားသီး,Fresh Vegetable,g," 3,500 ",1000, 4 ,,
21/07/26,V012,ခရမ်းချဉ်သီး,Fresh Vegetable,g," 5,000 ",1600, 3 ,,
21/07/26,D006,ငါးပိ ပုဇွန်,Dry Goods,g," 3,800 ",150, 25 ,,
21/07/26,V031,ဂေါ်ဖီထုပ်,Fresh Vegetable,g," 2,000 ",500, 4 ,,
21/07/26,D063,စွန်တန်,Dry Goods,g," 3,500 ",120, 29 ,,
21/07/26,F002,ကြက်သား,Fresh Goods,g," 56,000 ",3200, 18 ,,
22/07/26,V038,ကန်စွန်းရွက်,Fresh Vegetable,g," 2,000 ",400, 5 ,,
22/07/26,V043,ရုံးပတီသီး,Fresh Vegetable,g," 1,000 ",320, 3 ,,
22/07/26,V007,နံနံပင်,Fresh Vegetable,bunch, 500 ,1, 500 ,,
22/07/26,V044,ခဝဲသီး,Fresh Vegetable,g," 2,500 ",630, 4 ,,
22/07/26,V031,ဂေါ်ဖီထုပ်,Fresh Vegetable,g," 2,500 ",1000, 3 ,,
22/07/26,V013,ပြောင်းဖူး,Fresh Vegetable,pcs," 3,000 ",3," 1,000 ",,
22/07/26,V017,ဘိုစားပဲ,Fresh Vegetable,g," 1,000 ",320, 3 ,,
22/07/26,F001,ကြက်ဥ,Fresh Goods,pcs," 14,500 ",30, 483 ,,
23/07/26,D001,ဆန်,Dry Goods,g," 102,000 ",25344, 4.025 ,,
23/07/26,D060,Smart Vegetable Oil,Dry Goods,ml," 80,000 ",10000, 8 ,,
23/07/26,D033,MSG,Dry Goods,g," 6,000 ",400, 15 ,,
24/07/26,F017,ငါး,Fresh Goods,g," 10,000 ",800, 13 ,,
24/07/26,V045,ကိုက်လန်,Fresh Vegetable,g," 4,000 ",800, 5 ,,
24/07/26,F022,ချဉ်စုံထုပ်,Fresh Goods,pcs," 2,500 ",2," 1,250 ",,
24/07/26,D006,ငါးပိ ပုဇွန်,Dry Goods,g," 2,500 ",100, 25 ,,
24/07/26,V010,အာလူး,Fresh Vegetable,g," 4,500 ",1600, 3 ,,
24/07/26,V011,မုန်ညှင်းဖြူ,Fresh Vegetable,g," 1,500 ",600, 3 ,,
24/07/26,V024,ပန်းဂေါ်ဖီပွင့်,Fresh Vegetable,g," 4,500 ",800, 6 ,,
24/07/26,V016,ခါကြက်ဥ(ဥနီ),Fresh Vegetable,g," 1,500 ",200, 8 ,,
24/07/26,V023,ပဲစေ့ (ရွှေပဲ),Fresh Vegetable,g," 1,500 ",160, 9 ,,
24/07/26,D080,ပဲ၀ါလေး,Dry Goods,g," 2,000 ",320, 6 ,,
25/07/26,F002,ကြက်သား,Fresh Goods,g," 30,000 ",1600, 19 ,,
26/07/26,F023,ငါးဥ,Fresh Goods,g," 10,000 ",880, 11 ,,
28/07/26,F002,ကြက်သား,Fresh Goods,g," 28,000 ",1600, 18 ,,
28/07/26,F001,ကြက်ဥ,Fresh Goods,pcs," 15,000 ",30, 500 ,,
28/07/26,D056,တို့ဟူး,Dry Goods,g," 2,500 ",560, 4 ,,
28/07/26,V031,ဂေါ်ဖီထုပ်,Fresh Vegetable,g," 2,500 ",1000, 3 ,,
28/07/26,V034,သရက်ချဉ်,Fresh Vegetable,g," 2,000 ",200, 10 ,,
28/07/26,V021,ပဲသီးတောင့်,Fresh Vegetable,g," 1,200 ",300, 4 ,,
28/07/26,V011,မုန်ညှင်းဖြူ,Fresh Vegetable,g," 1,200 ",500, 2 ,,
28/07/26,V012,ခရမ်းချဉ်သီး,Fresh Vegetable,g," 4,000 ",1600, 3 ,,
30/07/26,F002,ကြက်သား,Fresh Goods,g," 28,000 ",1600, 18 ,,
30/07/26,F001,ကြက်ဥ,Fresh Goods,pcs," 15,000 ",30, 500 ,,
30/07/26,V014,ကြက်သွန်နီ ကြီး,Fresh Vegetable,g," 8,000 ",1600, 5 ,,
30/07/26,V005,ကြက်သွန်ဖြူ,Fresh Vegetable,g," 4,000 ",800, 5 ,,
30/07/26,V041,ပဲပင်ပေါက်,Fresh Vegetable,g," 2,000 ",480, 4 ,,
30/07/26,V006,ငရုပ်သီးစိမ်း,Fresh Vegetable,g," 2,000 ",320, 6 ,,
30/07/26,V016,ခါကြက်ဥ(ဥနီ),Fresh Vegetable,g," 5,000 ",600, 8 ,,
30/07/26,V021,ပဲသီးတောင့်,Fresh Vegetable,g," 1,500 ",300, 5 ,,
